Expirations,,,,,,,
,,,,,,,
,,,,,,,
Resource ID,Percent,Days,Expiration Description,Expiration Date,Expiration Code,Expiration Name,Priority Status
UL53423,28%,25,PM : 000-DOT : Descr : Annual DOT Inspection,6/24/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53409,28%,25,PM : 000-TPM : Descr : Trailer PM Service,6/24/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53374,27%,24,front/side damage(trailer must be back empty),6/25/2021 4:31:00 PM,HOLD,Out of Service,Required
UL53592,27%,24,ABS ring going to dealer,6/25/2021 4:01:00 PM,HOLD,Out of Service,Key Date
UL53423,24%,22,PM : 000-TPM : Descr : Trailer PM Service,6/27/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53533,22%,20,ABS ring,6/29/2021 5:46:00 PM,HOLD,Out of Service,Required
UL53527,22%,20,"ABS ring, going to dealer",6/29/2021 7:01:00 AM,HOLD,Out of Service,Required
UL53458,22%,20,PM : 000-TPM : Descr : Trailer PM Service,6/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53838,22%,20,PM : 000-TPM : Descr : Trailer PM Service,6/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53771,21%,19,PM : 000-TPM : Descr : Trailer PM Service,6/30/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53358,21%,19,"received maintenence violation, must come back to NCS",6/30/2021 12:01:00 PM,HOLD,Out of Service,Key Date
UCIQ017,21%,19,ordered license plate replasment 7.9.21,6/30/2021 3:01:00 PM,PRE,Preventive Maint,Key Date
UL53372,20%,18,PM : 000-TPM : Descr : Trailer PM Service,7/1/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF047,20%,18,PM : 000-TPM : Descr : Trailer PM Service,7/1/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53790,19%,17,PM : 000-TPM : Descr : Trailer PM Service,7/2/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53622,19%,17,"ABS ring, going to dealer",7/2/2021 5:01:00 PM,HOLD,Out of Service,Key Date
UL53628,17%,15,PM : 000-TPM : Descr : Trailer PM Service,7/4/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53617,17%,15,PM : 000-TPM : Descr : Trailer PM Service,7/4/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53774,16%,14,PM : 000-TPM : Descr : Trailer PM Service,7/5/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53738,16%,14,PM : 000-DOT : Descr : Annual DOT Inspection,7/5/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53730,14%,13,PM : 000-TPM : Descr : Trailer PM Service,7/6/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53334,14%,13,PM : 000-DOT : Descr : Annual DOT Inspection,7/6/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53506,14%,13,PM : 000-DOT : Descr : Annual DOT Inspection,7/6/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53640,13%,12,PM : 000-TPM : Descr : Trailer PM Service,7/7/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53875,12%,11,PM : 000-TPM : Descr : Trailer PM Service,7/8/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
535768,12%,11,reserved for lease,7/8/2021 4:16:00 PM,HOLD,Out of Service,Required
534626,12%,11,reserved for lease,7/8/2021 2:46:00 PM,HOLD,Out of Service,Required
535094,12%,11,reserved for lease,7/8/2021 6:31:00 PM,HOLD,Out of Service,Required
535768,11%,10,PM : 000-DOT : Descr : Annual DOT Inspection,7/9/2021 12:00:00 AM,PRE,Preventive Maint,Required
535730,11%,10,reserved for lease,7/9/2021 5:16:00 PM,HOLD,Out of Service,Required
UL53591,11%,10,"ABS ring, going to dealer",7/9/2021 10:31:00 AM,HOLD,Out of Service,Required
534685,10%,9,reserved for lease,7/10/2021 12:00:00 PM,HOLD,Out of Service,Required
UL53697,9%,8,PM : 000-TPM : Descr : Trailer PM Service,7/11/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53619,9%,8,PM : 000-TPM : Descr : Trailer PM Service,7/11/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53642,8%,7,PM : 000-TPM : Descr : Trailer PM Service,7/12/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
535454,8%,7,reserved for lease,7/12/2021 9:41:00 PM,HOLD,Out of Service,Required
534632,8%,7,reserved for lease,7/12/2021 3:31:00 PM,HOLD,Out of Service,Required
536057,8%,7,reserved for lease.,7/12/2021 4:01:00 PM,HOLD,Out of Service,Required
536392,8%,7,reserved for lease,7/12/2021 6:46:00 PM,HOLD,Out of Service,Required
536722,8%,7,reserved for lease,7/12/2021 9:31:00 AM,HOLD,Out of Service,Required
UL53591,8%,7,PM : 000-TPM : Descr : Trailer PM Service,7/12/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
536334,7%,6,reserved for lease,7/13/2021 11:31:00 AM,HOLD,Out of Service,Required
UL53608,7%,6,PM : 000-TPM : Descr : Trailer PM Service,7/13/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF028,7%,6,not keeping temperature. Dealer 7.13.21,7/13/2021 4:31:00 PM,HOLD,Out of Service,Required
ULRF073,6%,5,PM : 000-TPM : Descr : Trailer PM Service,7/14/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
534685,6%,5,PM : 000-DOT : Descr : Annual DOT Inspection,7/14/2021 12:00:00 AM,PRE,Preventive Maint,Required
536457,6%,5,reserved for lease,7/14/2021 1:31:00 PM,HOLD,Out of Service,Required
UCIQ002,6%,5,PM : 000-TPM : Descr : Trailer PM Service,7/14/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53533,6%,5,PM : 000-TPM : Descr : Trailer PM Service,7/14/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53488,6%,5,PM : 000-DOT : Descr : Annual DOT Inspection,7/14/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53886,4%,4,PM : 000-TPM : Descr : Trailer PM Service,7/15/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53804,4%,4,hole  on the roof. ,7/15/2021 3:01:00 PM,HOLD,Out of Service,Required
UL53631,3%,3,PM : 000-TPM : Descr : Trailer PM Service,7/16/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
536334,3%,3,PM : 000-DOT : Descr : Annual DOT Inspection,7/16/2021 2:00:00 PM,PRE,Preventive Maint,Required
UL53451,1%,1,PM : 000-DOT : Descr : Annual DOT Inspection,7/18/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53775,1%,1,PM : 000-TPM : Descr : Trailer PM Service,7/18/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53736,1%,1,PM : 000-TPM : Descr : Trailer PM Service,7/18/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53755,0%,0,PM : 000-TPM : Descr : Trailer PM Service,7/19/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53617,0%,0,"abs ring, going to dealer",7/19/2021 7:01:00 PM,HOLD,Out of Service,Required
UL53623,0%,0,PM : 000-TPM : Descr : Trailer PM Service,7/19/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UCIQ017,0%,0,PM : 000-TPM : Descr : Trailer PM Service,7/19/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53485,-1%,-1,PM : 000-TPM : Descr : Trailer PM Service,7/20/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53731,-1%,-1,PM : 000-TPM : Descr : Trailer PM Service,7/20/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53672,-2%,-2,PM : 000-TPM : Descr : Trailer PM Service,7/21/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
